"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"157",159,0.60125,0.448333333333333,0.583333333333333,0.355833333333333,31.862375,31.0366666666667,31.2902083333333,30.4987083333333,0.0478107710833333,0.0583782051666667,0.03294886825,0.0671543610833333
"158",160,0.625,0.405416666666667,0.537916666666667,0.414444444444444,34.1346666666667,33.014625,33.3805,32.9090416666667,0.0482328099166667,0.0574883026666667,0.0323121728333333,0.0659091351666667
"159",161,0.62125,0.40125,0.530416666666667,0.297727272727273,34.5945416666667,33.7507083333333,33.8404166666667,32.8195416666667,0.0471272041666667,0.0559474011666667,0.0302961926666667,0.06225006125
"160",162,0.6,0.39125,0.532083333333333,0.327058823529412,33.4947916666667,32.6796666666667,32.861875,31.6199583333333,0.0455083975,0.0535707691666667,0.0280595375833333,0.0587719935833333
"161",163,0.619166666666667,0.392083333333333,0.545833333333333,0.323809523809524,34.0482083333333,33.3271666666667,33.4855,32.2107916666667,0.0455983559166667,0.0539851935,0.0279672241666667,0.05894497625
"162",164,0.587916666666667,0.3925,0.555,0.422941176470588,34.4820416666667,33.6024166666667,33.5936666666667,32.6640416666667,0.0456527895833333,0.0536260925,0.0282712635,0.05881708575
"163",165,0.592916666666667,0.410416666666667,0.544583333333333,0.4925,34.8236666666667,34.1377083333333,33.9092916666667,33.3768333333333,0.0453807686666667,0.0534426431666667,0.0279314115833333,0.0581655634166667
"164",166,0.618333333333333,0.4025,0.585833333333333,0.492941176470588,35.5549166666667,34.849,34.719,34.1844583333333,0.045202291,0.0532385055833333,0.027960447,0.0579857774166667
"165",167,0.652916666666667,0.4375,0.628333333333333,0.459,46.6172727272727,44.6263636363636,39.91,42.3218181818182,0.0291132822727273,0.027809369,0.0346379936666667,0.0408483044545455
"166",168,0.66875,0.43375,0.655,0.4,38.7270833333333,36.65,43.9277777777778,34.8591666666667,0.0273537883333333,0.0259343085416667,0.0383242164444444,0.0388629281666667
"167",169,0.684166666666667,0.445833333333333,0.698333333333333,0.399583333333333,39.8925,37.6979166666667,46.576,36.3725,0.02789711275,0.0266651635,0.0394945702,0.0396317359583333
"168",170,0.698333333333333,0.464583333333333,0.71375,0.437826086956522,40.7725,38.7554166666667,43.917,38.5054166666667,0.0284033605833333,0.02719616075,0.0388454973,0.0407167389583333
"169",171,0.76125,0.541666666666667,0.7475,0.510416666666667,41.41375,40.3604166666667,45.19875,41.0729166666667,0.0303341984166667,0.0286611692083333,0.041021258875,0.042662256
"170",172,1.25304347826087,0.99695652173913,1.25260869565217,0.71,33.7873913043478,32.915652173913,36.4877777777778,32.7065217391304,0.082229393,0.091541261826087,0.0817472825555556,0.075068399173913
"171",173,1.67090909090909,1.25681818181818,1.61818181818182,0.891818181818182,33.9213636363636,32.3904545454545,41.6075,32.0404545454545,0.123989274909091,0.146306730818182,0.16311345925,0.11077873
"172",174,1.155,0.812916666666667,0.968333333333333,0.604166666666667,36.8045833333333,34.9108333333333,36.9090909090909,33.96,0.0857880001666667,0.13273556975,0.136120598727273,0.0922862739166667
"173",175,1.03333333333333,0.678333333333333,0.83,0.519583333333333,38.9165217391304,37.0447826086957,38.132,36.4091304347826,0.0669274673043478,0.104306954347826,0.1058194808,0.0752326572173913
