"","date","meanRsoil","max_pulse_duration","PulseM_15","NonPulseM_15","MeanM_15","case_when(...)","Rsoil_Combined"
"299",2017-10-28,0.396201388888889,0,0.667212531325337,0.45981151541744,0.521924162263963,0.45981151541744,0.45981151541744
"300",2017-10-29,0.396381944444444,0,0.69481475561813,0.496573874101458,0.556021006763139,0.496573874101458,0.496573874101458
"301",2017-10-30,0.417395833333333,0,0.667555833347121,0.481415502285993,0.537505002459635,0.481415502285993,0.481415502285993
"302",2017-10-31,0.504409722222222,0,0.597094113302238,0.413146961428318,0.472970729367865,0.413146961428318,0.413146961428318
"303",2017-11-01,0.389659722222222,0,0.576631173249213,0.439961294766253,0.482735048830438,0.439961294766253,0.439961294766253
"304",2017-11-02,0.364104166666667,0,0.562886005241469,0.413100077803138,0.458572985628712,0.413100077803138,0.413100077803138
"305",2017-11-03,0.361123456790123,0,0.559673268775793,0.406564005486281,0.452902031986328,0.406564005486281,0.406564005486281
"306",2017-11-04,0.353756944444444,0,0.619590835363883,0.44664698118381,0.496535104957296,0.44664698118381,0.44664698118381
"307",2017-11-05,0.363805555555556,0,0.624984880767351,0.443457715543295,0.500267171619793,0.443457715543295,0.443457715543295
"308",2017-11-06,0.357270833333333,0,0.631958933197254,0.462946384324611,0.514901576483399,0.462946384324611,0.462946384324611
"309",2017-11-07,0.372159722222222,0,0.6659067116763,0.507926228310815,0.558076236971516,0.507926228310815,0.507926228310815
"310",2017-11-08,0.647784722222222,0,0.549932919453351,0.38129680694148,0.441103388987801,0.38129680694148,0.38129680694148
"311",2017-11-09,0.444152777777778,0,0.576950393934681,0.434179703897807,0.486072022459897,0.434179703897807,0.434179703897807
"312",2017-11-10,0.401159722222222,0,0.604289001175127,0.46195267476775,0.51327197850632,0.46195267476775,0.46195267476775
"313",2017-11-11,0.367770833333333,0,0.593415513869961,0.450742182584246,0.501442930976961,0.450742182584246,0.450742182584246
"314",2017-11-12,0.349694444444444,0,0.609792990139827,0.486361734083994,0.528528620855957,0.486361734083994,0.486361734083994
"315",2017-11-13,0.3615625,0,0.593151592364111,0.443080783479405,0.492664600177842,0.443080783479405,0.443080783479405
"316",2017-11-14,0.360472222222222,0,0.597537416463824,0.428210561966058,0.482856894705865,0.428210561966058,0.428210561966058
"317",2017-11-15,0.343972222222222,0,0.607369689693972,0.454675739229397,0.501878230282327,0.454675739229397,0.454675739229397
"318",2017-11-16,0.342666666666667,0,0.58326222964547,0.417770342722778,0.469644231195992,0.417770342722778,0.417770342722778
"319",2017-11-17,0.340833333333333,0,0.564318056846334,0.40316623517872,0.453080797903657,0.40316623517872,0.40316623517872
"320",2017-11-18,0.319444444444444,0,0.562792356174268,0.438567919720114,0.476170895398833,0.438567919720114,0.438567919720114
"321",2017-11-19,0.287090277777778,0,0.555597032862228,0.464908383979114,0.490008309471093,0.464908383979114,0.464908383979114
"322",2017-11-20,0.275465277777778,0,0.497260349656794,0.396607391034544,0.42702768493097,0.396607391034544,0.396607391034544
"323",2017-11-21,0.286847222222222,0,0.523364874546883,0.427825754808497,0.456834932339522,0.427825754808497,0.427825754808497
"324",2017-11-22,0.283868055555556,0,0.530025360209237,0.432945149657345,0.46007465250331,0.432945149657345,0.432945149657345
"325",2017-11-23,0.301229166666667,0,0.555607618169023,0.42144195519039,0.461134595715018,0.42144195519039,0.42144195519039
"326",2017-11-24,0.303979166666667,0,0.553453996436807,0.411521087543796,0.455050599179083,0.411521087543796,0.411521087543796
"327",2017-11-25,0.298006944444444,0,0.571228911852529,0.427606853035998,0.47082462794156,0.427606853035998,0.427606853035998
"328",2017-11-26,0.297583333333333,0,0.560539113267778,0.423556247021155,0.463400848674805,0.423556247021155,0.423556247021155
"329",2017-11-27,0.293153846153846,0,0.500215631452061,0.393269638736848,0.426505551100387,0.393269638736848,0.393269638736848
"330",2017-12-20,0.298375,8,0.382652071169749,0.321702405831663,0.348828588751149,0.382652071169749,0.382652071169749
"331",2017-12-21,0.235416666666667,8,0.330642258838051,0.288615314146655,0.30902848630008,0.330642258838051,0.330642258838051
"332",2017-12-22,0.202882352941176,8,0.293718191170561,0.285400913518683,0.293593696339513,0.293718191170561,0.293718191170561
"333",2017-12-23,0.231083333333333,8,0.334919449220584,0.307170210051414,0.322922679938955,0.334919449220584,0.334919449220584
"334",2017-12-24,0.251069444444444,8,0.371773242598317,0.320394622247555,0.344293221416337,0.371773242598317,0.371773242598317
"335",2017-12-25,0.2478125,0,0.379232295802729,0.308133270002377,0.337944681973901,0.308133270002377,0.308133270002377
"336",2017-12-26,0.241402777777778,0,0.384777880754507,0.313210558997815,0.342909511836479,0.313210558997815,0.313210558997815
"337",2017-12-27,0.242743055555556,0,0.413945974287041,0.333802831115176,0.3657195256555,0.333802831115176,0.333802831115176
