date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,pulseduration_S,pulseduration_M,pulseduration_L,max_pulse_duration,rain_event,days_since_rain_event
2013-01-24,14.159583333333334,14.771666666666667,0,0,42.31538375895833,38.26298970895834,9.9375,12.5625,8.0725,11.19375,11.864583333333334,10.545833333333333,0.153504019518125,0.17929044690125,0.3327944664208333,0.06194642079919327,0,0,0,0,0,24
2013-01-25,14.021041666666667,14.47875,0,0,54.92206253625,50.47007344729167,9.770833333333334,12.541666666666666,8.0525,12.133333333291667,12.702083333333333,11.179166666666667,0.22236203532358334,0.16666575607770834,0.38902779139166666,0.12886596551247392,0,0,0,0,0,25
2013-02-03,11.334375,12.087291666666667,0,0,39.647749840833335,34.234953437916666,12.979166666666666,16,8.236875,9.160416666666666,9.991666666645834,9.525,0.2558471210916875,0.133499846771875,0.38934696786458334,0.3420256608746924,0,0,0,0,0,8
2013-02-04,10.781729166666667,11.488958333333333,0,0,51.46353208875,45.564525215416666,12.666666666666666,15.75,8.240625,9.2625,10.066666666666666,9.739583333333334,0.223306147694375,0.15283463655729165,0.37614078426458336,0.10607277622959616,0,0,0,0,0,9
2013-02-05,11.119604166666667,11.708708333333334,0,0,54.741964501874996,49.634779592708334,12.354166666666666,15.5625,8.268541666666668,9.789583333333333,11.039583333291667,10.2,0.19532416273520833,0.2545417333422917,0.4498658960770833,0.13022424794966692,0,0,0,0,0,10
2013-02-06,10.308354166666668,10.9285,0,0,53.286068594375,47.839331745416665,12.1875,15.270833333333334,8.175,9.6520833333125,11.118749999958334,10.575,0.2546183280186458,0.21405767907520834,0.4686760070916667,0.10066649615027358,0,0,0,0,0,11
2013-02-07,9.58075,10.386791666666667,0,0,50.83113678020833,45.279188303333335,12.041666666666666,15.104166666666666,8.157916666666667,9.4749999999375,11.168749999958333,10.595833333333333,0.19519958054927083,0.3052376377125,0.50043721826875,0.12943717621377668,0,0,0,0,0,12
2013-02-08,10.348604166666666,10.8808125,0,0,27.415998313479168,24.043458794833334,11.541666666666666,14.666666666666666,8.216458333333334,9.05625,10.56875,10.610416666666666,0.40977572725714584,0.22196809007875,0.6317438173416666,0.23606269174778843,0,0,0,0,0,13
2013-02-09,2.3512708333333334,2.632,1.143,1,62.716279885625,59.386790497916664,11,14.125,8.392291666666667,6.808333333333334,9.3458333333125,10.270833333333334,0.22625201595847916,0.10390281831610416,0.33015483428125,0.2477597893466551,0,0,0,0,0,14
2013-02-10,2.986,3.649916666666667,0,0,42.80065928520833,37.957983479166664,10.604166666666666,13.604166666666666,8.46375,4.899999999958333,7.466666666604167,8.889583333333333,0.064495929891625,0.13294871132729166,0.19744464121458333,0.08768362889243933,0,0,0,0,0,15
2013-02-11,1.8095833333333333,2.2851666666666666,0,0,56.369100913958334,52.949181868125,10.416666666666666,13.395833333333334,8.504791666666666,4.185416666666667,6.410416666666666,8.235416666666666,-0.0047185606477083315,0.12048619889689584,0.115767638234375,0.10774773025778946,0,0,0,0,0,16
2013-02-12,-0.08785416666666668,0.2493125,2.286,2,79.383579461875,75.73676100520834,10.958333333333334,13.375,8.39375,5.518749999958334,7.304166666645833,8.025,0.0731891514726555,0.022193494615625,0.09538264608611384,0.207100998847679,0,0,0,0,0,17
2013-02-13,4.460333333333334,5.096,0,0,42.00751095458333,37.08872899166666,12.395833333333334,13.416666666666666,8.435416666666667,4.908333333333333,6.64375,7.825,-0.07529444662093333,0.11937611836999999,0.044081671753108335,0.0815846551408033,0,0,0,0,0,18
2013-02-14,7.2668125,7.873145833333333,0,0,32.39898624833333,28.446993532083333,12.3125,13.541666666666666,8.450625,5.774999999916667,7.36875,7.8625,0.060389972770625,0.0489569571775,0.10934692994708334,0.11358478349962808,0,0,0,0,0,19
2013-02-15,9.353395833333334,9.7658125,0,0,26.556824885416667,23.829236142666666,12.354166666666666,13.9375,8.433333333333334,7.529166666666667,8.533333333333333,8.425,-0.018562353259791668,0.18329423214791665,0.16473187888604165,0.08490816963188162,0,0,0,0,0,20
2013-02-16,9.5794375,10.246916666666667,0,0,22.31074334104167,19.279443458125,12.125,14.0625,8.485625,7.664583333291667,8.985416666604166,8.775,0.016700840504895835,0.2505285675565833,0.26722940805208334,0.09446648837314403,0,0,0,0,0,21
2013-02-17,11.245229166666666,11.999458333333333,0,0,16.265508498333332,13.378820016229167,12.125,14.25,8.474375,8.62083333325,9.947916666666666,9.252083333333333,0.19051748240985417,0.19443094193114582,0.3849484243395833,0.1645889422080609,0,0,0,0,0,22
2013-02-18,10.1214375,10.784375,0,0,20.105516433958332,17.32427331125,11.791666666666666,14.145833333333334,8.598125,8.714583333270832,10.043749999979166,9.7375,0.07290989412158333,0.23491346868895835,0.30782336280833333,0.08523882375879364,0,0,0,0,0,23
2013-02-19,9.8446875,10.2240625,0,0,38.46175666916667,35.895748011875,11.375,13.916666666666666,8.709583333333333,8.458333333333334,9.570833333333333,9.76875,0.43564389797374997,0.08664537413945833,0.5222892721145833,0.3384657937010805,0,0,0,0,0,24
2013-02-20,1.1825416666666666,1.3001666666666667,0,0,74.22355597104166,72.22267742333334,10.958333333333334,13.5,8.784791666666667,6.45,8.25,9.5625,0.28066742441479164,0.029857038769166667,0.310524463180625,0.3028948724665967,0,0,0,0,0,25
2013-03-01,11.1305625,11.816979166666666,0,0,18.609728112916667,15.863527666666666,12.9375,16.520833333333332,8.893125,8.506249999916667,9.691666666666666,8.825,0.15388866925629166,0.08058152278583333,0.23447019204541666,0.18061529088044567,0,0,0,0,0,8
2013-03-02,14.769583333333333,15.782916666666667,0,0,19.449991373895834,16.2284940165,12.875,16.8125,8.955416666666666,10.85625,11.93125,9.883333333333333,0.09593107297666667,0.21410278617125,0.3100338591645833,0.22295399820974238,0,0,0,0,0,9
2013-03-03,15.949166666666667,16.779166666666665,0,0,16.763309386124998,13.8427249415625,12.729166666666666,16.729166666666668,9.069791666666667,11.943749999979167,13.4083333333125,11.047916666666666,0.19207781971916668,0.1329521692960625,0.32502998901875,0.09983662302046255,0,0,0,0,0,10
2013-03-04,13.81625,14.194374999999999,0,0,23.935496111458335,21.50387025875,12.5625,16.6875,9.331875,13.425,14.925,12.197916666666666,0.27601106361645833,0.0923052757253125,0.36831633933958335,0.18598578307549968,0,0,0,0,0,11
2013-03-05,13.4225,13.734375,0,0,29.959908616041666,27.041878041041667,12.333333333333334,16.375,9.474375,13.108333333270833,14.691666666666666,12.595833333333333,0.13995198368391668,0.15572221789939583,0.295674201575,0.13616374337860598,0,0,0,0,0,12
