"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.57024,25.79,22.9147679,27.56,20.39759991,9,9,10,32.1,33,31.3,-0.5847753851,0.1801996508
84.58987,25.92,22.32313484,27.68,19.9227887,9,10,10,31.7,32.8,31.3,-0.244668642,0.1821528614
84.63502,26.36,21.95290947,27.22,20.53436874,9,10,10,31.4,32.6,31.2,0.1803041518,0.1803041518
84.65116,26.87,21.85371538,27.54,20.76695981,9,9,10,31.1,32.4,31.2,0.7471586394,0.7471586394
84.66702,28.51,19.58932311,28.95,18.67481515,9,9,10,30.9,32.2,31.1,-0.07178357325,0.194868544
84.68546,31.48,15.94111301,31.62,14.87051624,9,9,9,30.7,32,31.1,-0.08649654378,0.2152565092
84.69829,31.83,15.71076902,31.89,14.64004769,9,9,10,30.7,31.9,31,0.1650537611,0.2190093216
84.7096,31.9,15.62052699,31.86,14.64556792,9,9,10,30.8,31.8,30.9,0.1103754668,0.2207140366
84.71778,32.35,14.90842309,31.93,14.33543444,9,9,10,31.1,31.7,30.9,-0.7057880959,0.2232411619
84.72368,32.99,14.47763638,32.35,14.10602417,9,9,10,31.5,31.7,30.8,0.5227933911,0.5227933911
84.7219,33.31,14.68893323,32.55,14.33678507,9,9,9,32.2,31.6,30.8,1.795506,1.795506
84.71367,34.37,13.98754915,33.3,13.95371203,9,9,9,33.1,31.7,30.7,0.919580589,0.919580589
84.70055,34.59,14.01797031,33.68,13.86709354,10,9,9,34.2,31.8,30.7,0.7234850529,0.7234850529
84.68733,35.35,13.58717632,34.31,13.53978166,10,9,10,35.5,32,30.6,0.8965272268,0.8965272268
84.66245,35.72,13.34663437,34.87,13.20326852,10,9,9,36.8,32.2,30.5,0.8677414959,0.8677414959
84.63211,36.15,12.63412678,35.39,12.61827084,10,9,10,38.2,32.5,30.5,1.954282884,1.954282884
84.59856,37.03,11.92206753,36.05,12.16110692,10,9,9,39.6,33,30.5,0.8095421623,0.8095421623
84.55799,37.41,10.5765693,36.55,10.99296725,10,10,9,41,33.5,30.5,1.892798599,1.892798599
84.50172,37.92,9.853858259,37.06,10.27016638,10,10,9,42.4,34.1,30.4,1.880843366,1.880843366
84.45558,38.31,9.834128789,37.69,10.08351559,10,10,9,43.6,34.7,30.5,1.027886596,1.027886596
84.41069,38.29,9.814020242,37.35,10.29588097,10,10,9,44.7,35.3,30.5,0.7763066511,0.7763066511
84.38181,38.6,9.482808606,37.86,9.898343465,10,10,10,45.3,36,30.5,1.161492516,1.161492516
84.33116,38.27,9.532740787,37.87,9.806043667,11,10,9,45.9,36.5,30.6,0.7609227728,0.7609227728
84.30388,38.11,9.371879528,37.74,9.66256476,11,10,9,46.2,37,30.7,1.137967842,1.137967842
84.26645,38.92,9.161631327,38.42,9.493408443,11,10,9,46.2,37.4,30.7,0.4164551278,0.4164551278
84.25995,37.02,11.02815313,37.23,10.59140728,10,10,9,46.3,37.8,30.9,0.9780514198,0.9780514198
84.29285,32.31,25.11833566,33.72,18.34789509,10,10,9,46,38.1,31,0.2004958719,0.2906672104
84.29578,33.25,19.66879858,34.06,16.58394993,10,10,10,45.1,38.2,31.1,0.2133518161,0.2976283672
84.29685,34.46,13.97762913,34.98,12.84942686,10,10,10,44,38.2,31.2,-0.1110294798,0.3102176024
84.31773,34.15,14.42906048,34.9,12.82678352,10,10,10,43,38,31.4,0.4274095882,0.4274095882
84.33114,33.17,14.65861278,34.17,12.7309271,10,10,10,42.1,37.8,31.5,-0.4194270242,0.3107251705
84.34977,31.82,17.11618841,33.01,14.60392008,10,10,10,41.3,37.6,31.6,0.3036126621,0.3036126621
84.4031,31.64,15.81086185,32.73,13.88453134,10,10,10,40.4,37.3,31.7,0.3049625564,0.3049625564
84.4553,31.25,16.32220515,32.53,14.04105762,10,10,10,39.6,37,31.8,-0.2470088135,0.3071074249
